NAME	ClusterOrigin	EnsemblID	EntrezGeneID	Aliases	GeneType	Origin	Functions
MCU	Cluster#1	ENSG00000156026	90550	[C10orf42, CCDC109A, HsMCU]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Cellular senescence
MED12L	Cluster#1	ENSG00000144893	116931	[NIZIDS, NOPAR, TNRC11L, TRALP, TRALPUSH]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Thyroid hormone signaling pathway
MME	Cluster#1	ENSG00000196549	4311	[CALLA, CD10, CMT2T, NEP, SCA43, SFE]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Exocytosis of secretory granule membrane proteins
MYL12B	Cluster#1	ENSG00000118680	103910	[MLC-B, MRLC2]	protein_coding	Initial Gene From Selection	EPH-Ephrin signaling | RHO GTPases activate PKNs
NFYB	Cluster#1	ENSG00000120837	4801	[CBF-A, CBF-B, HAP3, NF-YB]	protein_coding,retained_intron	Initial Gene From Selection	Antigen processing and presentation
NPM1	Cluster#1	ENSG00000181163	4869	[B23, NPM]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	HJURP:CENPA complex localizes to the centromere | SUMOylation of transcription cofactors
NUF2	Cluster#1	ENSG00000143228	83540	[CDCA1, CT106, NUF2R]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Cell Cycle Checkpoints
PARD3	Cluster#1	ENSG00000148498	56288	[ASIP, Baz, PAR3, PAR3alpha, PARD-3, PARD3A, PPP1R118, SE2-5L16, SE2-5LT1, SE2-5T2]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Cell-cell junction organization
PDAP1	Cluster#1	ENSG00000106244	11333	[HASPP28, PAP, PAP1]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Exocytosis of ficolin-rich granule lumen proteins
PGM1	Cluster#1	ENSG00000079739	5236	[CDG1T, GSD14]	processed_transcript,protein_coding	Initial Gene From Selection	Exocytosis of ficolin-rich granule lumen proteins
PIK3CD	Cluster#1	ENSG00000171608	5293	[APDS, IMD14, IMD14A, IMD14B, P110DELTA, PI3K, ROCHIS, p110D]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Thyroid hormone signaling pathway | Cellular senescence
PLCE1	Cluster#1	ENSG00000138193	51196	[NPHS3, PLCE, PPLC]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Thyroid hormone signaling pathway
POLE3	Cluster#1	ENSG00000148229	54107	[CHARAC17, CHRAC17, CHRAC2, YBL1, p17]	processed_transcript,protein_coding	Initial Gene From Selection	DNA polymerase epsilon binds at the origin | DNA polymerase alpha:primase binds at the origin
PPP2CA	Cluster#1	ENSG00000113575	5515	[NEDLBA, PP2Ac, PP2CA, PP2Calpha, RP-C]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Cyclin D associated events in G1 | G1 Phase | Degradation of ubiquitinated beta catenin by the proteasome
PRG2	Cluster#1	ENSG00000186652	5553	[BMPG, MBP, MBP1, proMBP]	protein_coding,retained_intron	Initial Gene From Selection	Exocytosis of ficolin-rich granule lumen proteins
PSMB5	Cluster#1	ENSG00000100804	5693	[LMPX, MB1]	nonsense_mediated_decay,protein_coding	Initial Gene From Selection	Degradation of ubiquitinated beta catenin by the proteasome | 26S proteasome degrades HIFalpha
RHNO1	Cluster#1	ENSG00000171792	83695	[C12orf32, HKMT1188, RHINO]	TEC,nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	G2/M DNA damage checkpoint | Processing of DNA double-strand break ends
RHOJ	Cluster#1	ENSG00000126785	57381	[ARHJ, RASL7B, TC10B, TCL]	nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	RHOJ binds effectors at the plasma membrane | RHOJ GTPase cycle
RPL35	Cluster#1	ENSG00000136942	11224	[DBA19, L35]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	Aminoacyl-tRNA  binds to the ribosome at the A-site | Hydrolysis of eEF1A:GTP | Peptide chain elongation | Translocation of ribosome by 3 bases in the 3' direction
RPL41	Cluster#1	ENSG00000229117	6171	[L41]	processed_transcript,protein_coding	Initial Gene From Selection	Aminoacyl-tRNA  binds to the ribosome at the A-site | Hydrolysis of eEF1A:GTP | Peptide chain elongation | Translocation of ribosome by 3 bases in the 3' direction
RPS3A	Cluster#1	ENSG00000145425	6189	[FTE1, MFTL, S3A]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	Aminoacyl-tRNA  binds to the ribosome at the A-site | Hydrolysis of eEF1A:GTP | Peptide chain elongation | Translocation of ribosome by 3 bases in the 3' direction
RUVBL1	Cluster#1	ENSG00000175792	8607	[ECP-54, ECP54, INO80H, NMP 238, NMP238, PONTIN, Pontin52, RVB1, TIH1, TIP49, TIP49A]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	HJURP:CENPA complex localizes to the centromere | NuA4 complex acetylates histone H2A, HIST1H4
RXRB	Cluster#1	ENSG00000204231	6257	[DAUDI6, H-2RIIBP, NR2B2, RCoR-1, RXR-beta, RXRbeta]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	Thyroid hormone signaling pathway
SMC5	Cluster#1	ENSG00000198887	23137	[SMC5L1]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	SUMO E3 ligases SUMOylate target proteins | SUMOylation
SOX6	Cluster#1	ENSG00000110693	55553	[HSSOX6, SOXD, TOLCAS]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	Deactivation of the beta-catenin transactivating complex | TCF dependent signaling in response to WNT
STAG1	Cluster#1	ENSG00000118007	10274	[MRD47, SA1, SCC3A]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	BRCA1 is recruited to unsynapsed regions | ATR Kinase is recruited to unsynapsed regions | ATR phosphorylates Histone H2A.X at unsynapsed regions
STAG3	Cluster#1	ENSG00000066923	10734	[SPGF61]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	BRCA1 is recruited to unsynapsed regions | ATR Kinase is recruited to unsynapsed regions | ATR phosphorylates Histone H2A.X at unsynapsed regions
THRB	Cluster#1	ENSG00000151090	7068	[C-ERBA-2, C-ERBA-BETA, ERBA2, GRTH, NR1A2, PRTH, THR1, THRB1, THRB2, TRbeta]	nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	Thyroid hormone signaling pathway | SUMO E3 ligases SUMOylate target proteins
UHRF1	Cluster#1	ENSG00000276043	29128	[ICBP90, Np95, RNF106, TDRD22, hNP95, hUHRF1, huNp95]	protein_coding	Initial Gene From Selection	UHRF1 binds chromatin with hemimethylated cytosine | DNMT1 methylates cytosine in hemimethylated DNA | UHRF1:Chromatin binds DNMT1
WIPF2	Cluster#1	ENSG00000171475	147179	[WICH, WIRE]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	RHOJ binds effectors at the plasma membrane | RHOJ GTPase cycle
WNT8A	Cluster#1	ENSG00000061492	7478	[WNT8D]	nonsense_mediated_decay,protein_coding	Initial Gene From Selection	TCF dependent signaling in response to WNT
