NAME	ClusterOrigin	EnsemblID	EntrezGeneID	Aliases	GeneType	Origin	Functions
KDM1A	Cluster#1	ENSG00000004487	23028	[AOF2, BHC110, CPRF, KDM1, LSD1]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage | intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
LCK	Cluster#1	ENSG00000182866	3932	[IMD22, LSK, YT16, p56lck, pp58lck]	protein_coding,retained_intron	Initial Gene From Selection	protein phosphorylated amino acid binding | phosphoprotein binding
LIN7A	Cluster#1	ENSG00000111052	8825	[LIN-7A, LIN7, MALS-1, MALS1, TIP-33, VELI1]	nonsense_mediated_decay,protein_coding	Initial Gene From Selection	establishment or maintenance of epithelial cell apical/basal polarity
MAPT	Cluster#1	ENSG00000186868	4137	[DDPAC, FTDP-17, MAPTL, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, tau-40]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	regulation of protein deacetylation
MCM7	Cluster#1	ENSG00000166508	4176	[CDC47, MCM2, P1.1-MCM3, P1CDC47, P85MCM, PNAS146, PPP1R104]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	nucleosome assembly | nucleosome organization
MSN	Cluster#1	ENSG00000147065	4478	[HEL70, IMD50]	processed_transcript,protein_coding	Initial Gene From Selection	establishment or maintenance of epithelial cell apical/basal polarity
NME5	Cluster#1	ENSG00000112981	8382	[NM23-H5, NM23H5, RSPH23]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	regulation of intrinsic apoptotic signaling pathway
NPM1	Cluster#1	ENSG00000181163	4869	[B23, NPM]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	protein kinase inhibitor activity | positive regulation of protein ubiquitination
NUF2	Cluster#1	ENSG00000143228	83540	[CDCA1, CT106, NUF2R]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	chromosome, centromeric region
PARD3	Cluster#1	ENSG00000148498	56288	[ASIP, Baz, PAR3, PAR3alpha, PARD-3, PARD3A, PPP1R118, SE2-5L16, SE2-5LT1, SE2-5T2]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	establishment or maintenance of epithelial cell apical/basal polarity | heterochromatin assembly
PDGFC	Cluster#1	ENSG00000145431	56034	[FALLOTEIN, SCDGF]	nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	cellular response to acid chemical
PIK3CD	Cluster#1	ENSG00000171608	5293	[APDS, IMD14, IMD14A, IMD14B, P110DELTA, PI3K, ROCHIS, p110D]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	vascular endothelial growth factor signaling pathway | positive regulation of endothelial cell migration
POLE3	Cluster#1	ENSG00000148229	54107	[CHARAC17, CHRAC17, CHRAC2, YBL1, p17]	processed_transcript,protein_coding	Initial Gene From Selection	heterochromatin assembly | nucleosome assembly
PPP2CA	Cluster#1	ENSG00000113575	5515	[NEDLBA, PP2Ac, PP2CA, PP2Calpha, RP-C]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	chromosome, centromeric region
PRKAR2A	Cluster#1	ENSG00000114302	5576	[PKR2, PRKAR2]	protein_coding	Initial Gene From Selection	protein kinase inhibitor activity
PRKD2	Cluster#1	ENSG00000105287	25865	[HSPC187, PKD2, nPKC-D2]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	positive regulation of histone deacetylation | integral component of lumenal side of endoplasmic reticulum membrane
PTPN3	Cluster#1	ENSG00000070159	5774	[PTP-H1, PTPH1]	processed_transcript,protein_coding	Initial Gene From Selection	membrane protein ectodomain proteolysis | protein phosphorylated amino acid binding
RHOJ	Cluster#1	ENSG00000126785	57381	[ARHJ, RASL7B, TC10B, TCL]	nonsense_mediated_decay,processed_transcript,protein_coding	Initial Gene From Selection	positive regulation of blood vessel endothelial cell migration | regulation of blood vessel endothelial cell migration
RNF217	Cluster#1	ENSG00000146373	154214	[C6orf172, IBRDC1, OSTL, dJ84N20.1]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	ubiquitin conjugating enzyme binding
RUVBL1	Cluster#1	ENSG00000175792	8607	[ECP-54, ECP54, INO80H, NMP 238, NMP238, PONTIN, Pontin52, RVB1, TIH1, TIP49, TIP49A]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	nucleosome | nucleosome organization
SH3BP1	Cluster#1	ENSG00000100092	23616	[ARHGAP43]	non_stop_decay,nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	establishment or maintenance of epithelial cell apical/basal polarity | regulation of blood vessel endothelial cell migration
SMC5	Cluster#1	ENSG00000198887	23137	[SMC5L1]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	sister chromatid cohesion | protein localization to chromosome
SPDYE14	Cluster#1	ENSG00000286137	641776	[SPDYE13, SPDYE14P]	protein_coding	Initial Gene From Selection	positive regulation of cyclin-dependent protein serine/threonine kinase activity | regulation of cyclin-dependent protein serine/threonine kinase activity
STAG1	Cluster#1	ENSG00000118007	10274	[MRD47, SA1, SCC3A]	nonsense_mediated_decay,protein_coding,retained_intron	Initial Gene From Selection	sister chromatid cohesion | chromosome, centromeric region
STAG3	Cluster#1	ENSG00000066923	10734	[SPGF61]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	sister chromatid cohesion | protein localization to chromosome
TICAM1	Cluster#1	ENSG00000127666	148022	[IIAE6, MyD88-3, PRVTIRB, TICAM-1, TRIF]	protein_coding	Initial Gene From Selection	positive regulation of protein ubiquitination
TMBIM6	Cluster#1	ENSG00000139644	7009	[BAXI1, BI-1, TEGT]	nonsense_mediated_decay,processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	regulation of intrinsic apoptotic signaling pathway
TNFRSF1B	Cluster#1	ENSG00000028137	7133	[CD120b, TBPII, TNF-R-II, TNF-R75, TNFBR, TNFR1B, TNFR2, TNFR80, p75, p75TNFR]	processed_transcript,protein_coding	Initial Gene From Selection	membrane protein ectodomain proteolysis | intrinsic apoptotic signaling pathway in response to DNA damage
UBASH3B	Cluster#1	ENSG00000154127	84959	[STS-1, STS1, TULA-2, TULA2, p70]	processed_transcript,protein_coding,retained_intron	Initial Gene From Selection	negative regulation of myeloid cell differentiation | phosphoprotein binding
XBP1	Cluster#1	ENSG00000100219	7494	[TREB-5, TREB5, XBP-1, XBP2]	protein_coding,retained_intron	Initial Gene From Selection	cellular response to acid chemical | regulation of intrinsic apoptotic signaling pathway
